# tools/reflection/global_ucas.py 1.0.0 -- root packages of MISERY/Content/Paks/global.ucas
# 394 root packages, 394 of them under /Script/.
# A root package is an entry whose OuterIndex is Null (PackageStoreOptimizer.cpp:987).
# Presence means the cook saw the module. It does NOT mean the shipped game loads it.
package	objects	classes_with_cdo	class_default_objects	members_of_classes	package_members_unclassified
/Script/FacialAnimation	3	1	1	0	0
/Script/FacialAnimationEditor	3	1	1	0	0
/Script/FieldNotification	5	1	1	0	2
/Script/FieldSystemEngine	87	27	27	30	1
/Script/Foliage	53	14	14	7	11
/Script/FoliageEdit	23	9	9	4	0
/Script/FractureEditor	228	90	90	23	24
/Script/FractureEngine	2	0	0	0	1
/Script/FullBodyIK	11	0	0	0	10
/Script/FunctionalTesting	196	19	19	117	19
/Script/GLTFExporter	33	11	11	3	7
/Script/GameProjectGeneration	18	6	6	0	5
/Script/GameplayCameras	153	39	39	29	19
/Script/GameplayCamerasEditor	11	5	5	0	0
/Script/GameplayDebugger	35	6	6	9	13
/Script/GameplayTags	86	15	15	37	18
/Script/GameplayTagsEditor	19	9	9	0	0
/Script/GameplayTasks	36	8	8	13	6
/Script/GameplayTasksEditor	3	1	1	0	0
/Script/GeometryCache	64	12	12	32	6
/Script/GeometryCacheEd	5	2	2	0	0
/Script/GeometryCacheStreamer	3	1	1	0	0
/Script/GeometryCacheTracks	10	2	2	0	3
/Script/GeometryCollectionEditor	11	5	5	0	0
/Script/GeometryCollectionEngine	151	15	15	76	40
/Script/GeometryCollectionNodes	262	0	0	0	261
/Script/GeometryCollectionTracks	10	2	2	0	3
/Script/GeometryFramework	82	9	9	52	8
/Script/GeometryMode	31	15	15	0	0
/Script/GooglePAD	25	1	1	17	5
/Script/GooglePADEditor	3	1	1	0	0
/Script/GraphEditor	5	1	1	0	2
/Script/HardwareTargeting	5	1	1	0	2
/Script/HeadMountedDisplay	30	2	2	12	13
/Script/IKRig	115	27	27	20	34
/Script/IKRigDeveloper	5	2	2	0	0
/Script/IKRigEditor	124	13	13	90	7
/Script/ImageCore	10	1	1	6	1
/Script/ImageWriteQueue	7	1	1	1	3
/Script/ImgMedia	10	1	1	6	1
/Script/ImgMediaEditor	7	3	3	0	0
/Script/ImgMediaFactory	3	1	1	0	0
/Script/InputBlueprintNodes	13	6	6	0	0
/Script/InputCore	8	1	1	0	5
/Script/InputEditor	29	11	11	5	1
/Script/InteractiveToolsFramework	360	148	148	24	37
/Script/InterchangeCommon	5	0	0	0	4
/Script/InterchangeCommonParser	7	0	0	0	6
/Script/InterchangeCore	157	20	20	104	12
/Script/InterchangeEditor	5	2	2	0	0
/Script/InterchangeEditorPipelines	11	5	5	0	0
/Script/InterchangeEditorUtilities	3	1	1	0	0
/Script/InterchangeEngine	65	12	12	27	13
/Script/InterchangeExport	3	1	1	0	0
/Script/InterchangeFactoryNodes	540	37	37	464	1
/Script/InterchangeImport	136	66	66	0	3
/Script/InterchangeMessages	15	7	7	0	0
/Script/InterchangeNodes	314	33	33	238	9
/Script/InterchangePipelines	59	13	13	16	9
/Script/InterchangeTestEditor	5	2	2	0	0
/Script/InterchangeTests	142	20	20	98	3
/Script/InternationalizationSettings	4	1	1	0	1
/Script/IrisCore	162	42	42	0	77
/Script/JsonUtilities	4	1	1	0	1
/Script/Kismet	24	6	6	1	10
/Script/KismetWidgets	3	1	1	0	0
/Script/Landscape	176	40	40	31	51
/Script/LandscapeEditor	31	4	4	0	20
