# tools/reflection/engine_split.py 1.0.0 -- authoritative UE 5.4.4 module name set at changelist 35576357 (++UE5+Release-5.4, research/unreal/engine-version.json), read from Engine/Source/**/*.Build.cs and Engine/Plugins/**/*.uplugin
# 1841 distinct names: 653 from Engine/Source (1:1 with 653 *.Build.cs files), 1188 distinct from Engine/Plugins (from 609 *.uplugin files' Modules[] arrays)
module_name	source_kind	evidence_file	evidence_line
AndroidAdjust	uplugin	Engine/Plugins/Runtime/Analytics/Adjust/Adjust.uplugin	25
AndroidAdvertising	build.cs	Engine/Source/Runtime/Advertising/Android/AndroidAdvertising/AndroidAdvertising.Build.cs	7
AndroidBackgroundService	uplugin	Engine/Plugins/Runtime/AndroidBackgroundService/AndroidBackgroundService.uplugin	17
AndroidCamera	uplugin	Engine/Plugins/Media/AndroidCamera/AndroidCamera.uplugin	20
AndroidCameraEditor	uplugin	Engine/Plugins/Media/AndroidCamera/AndroidCamera.uplugin	26
AndroidCameraFactory	uplugin	Engine/Plugins/Media/AndroidCamera/AndroidCamera.uplugin	31
AndroidDeviceDetection	build.cs	Engine/Source/Developer/Android/AndroidDeviceDetection/AndroidDeviceDetection.Build.cs	5
AndroidDeviceProfileCommandlets	uplugin	Engine/Plugins/Runtime/AndroidDeviceProfileSelector/AndroidDeviceProfileSelector.uplugin	25
AndroidDeviceProfileSelector	uplugin	Engine/Plugins/Runtime/AndroidDeviceProfileSelector/AndroidDeviceProfileSelector.uplugin	20
AndroidDeviceProfileSelectorRuntime	uplugin	Engine/Plugins/Runtime/AndroidDeviceProfileSelector/AndroidDeviceProfileSelector.uplugin	30
AndroidFetchBackgroundDownload	uplugin	Engine/Plugins/Online/Android/AndroidFetchBackgroundDownload/AndroidFetchBackgroundDownload.uplugin	17
AndroidFileServer	uplugin	Engine/Plugins/Runtime/AndroidFileServer/AndroidFileServer.uplugin	19
AndroidFileServerEditor	uplugin	Engine/Plugins/Runtime/AndroidFileServer/AndroidFileServer.uplugin	25
AndroidLocalNotification	build.cs	Engine/Source/Runtime/Android/AndroidLocalNotification/AndroidLocalNotification.Build.cs	5
AndroidMedia	uplugin	Engine/Plugins/Media/AndroidMedia/AndroidMedia.uplugin	20
AndroidMediaEditor	uplugin	Engine/Plugins/Media/AndroidMedia/AndroidMedia.uplugin	26
AndroidMediaFactory	uplugin	Engine/Plugins/Media/AndroidMedia/AndroidMedia.uplugin	31
AndroidMoviePlayer	uplugin	Engine/Plugins/Runtime/AndroidMoviePlayer/AndroidMoviePlayer.uplugin	19
AndroidPermission	uplugin	Engine/Plugins/Runtime/AndroidPermission/AndroidPermission.uplugin	19
