# tools/reflection/engine_split.py 1.0.0 -- engine/game classification of the 394 /Script/<Module> root packages RF-01 found in MISERY/Content/Paks/global.ucas
# counts: {"collision": 0, "engine": 385, "game-misery": 1, "game-plugin": 4, "unclassified": 4}
# Rule: see this tool's module docstring, or $.rule in engine-split.json. 'unclassified' is reported, never guessed into another bucket.
package	category	matched_name	evidence_kind	evidence_file	evidence_line
/Script/AudioMixer	engine	AudioMixer	build.cs	Engine/Source/Runtime/AudioMixer/AudioMixer.Build.cs	5
/Script/AudioPlatformConfiguration	engine	AudioPlatformConfiguration	build.cs	Engine/Source/Runtime/AudioPlatformConfiguration/AudioPlatformConfiguration.Build.cs	5
/Script/AudioSynesthesia	engine	AudioSynesthesia	uplugin	Engine/Plugins/Runtime/AudioSynesthesia/AudioSynesthesia.uplugin	25
/Script/AudioSynesthesiaEditor	engine	AudioSynesthesiaEditor	uplugin	Engine/Plugins/Runtime/AudioSynesthesia/AudioSynesthesia.uplugin	30
/Script/AudioWidgets	engine	AudioWidgets	uplugin	Engine/Plugins/Runtime/AudioWidgets/AudioWidgets.uplugin	19
/Script/AutomationController	engine	AutomationController	build.cs	Engine/Source/Developer/AutomationController/AutomationController.Build.cs	5
/Script/AutomationMessages	engine	AutomationMessages	build.cs	Engine/Source/Runtime/AutomationMessages/AutomationMessages.Build.cs	5
/Script/AutomationTest	engine	AutomationTest	build.cs	Engine/Source/Runtime/AutomationTest/AutomationTest.Build.cs	5
/Script/AutomationUtils	engine	AutomationUtils	uplugin	Engine/Plugins/Experimental/AutomationUtils/AutomationUtils.uplugin	18
/Script/AutomationUtilsEditor	engine	AutomationUtilsEditor	uplugin	Engine/Plugins/Experimental/AutomationUtils/AutomationUtils.uplugin	23
/Script/AvfMediaEditor	engine	AvfMediaEditor	uplugin	Engine/Plugins/Media/AvfMedia/AvfMedia.uplugin	26
/Script/AvfMediaFactory	engine	AvfMediaFactory	uplugin	Engine/Plugins/Media/AvfMedia/AvfMedia.uplugin	31
/Script/BaseCharacterFXEditor	engine	BaseCharacterFXEditor	uplugin	Engine/Plugins/Experimental/CharacterFXEditor/BaseCharacterFXEditor/BaseCharacterFXEditor.uplugin	18
/Script/BehaviorTreeEditor	engine	BehaviorTreeEditor	build.cs	Engine/Source/Editor/BehaviorTreeEditor/BehaviorTreeEditor.Build.cs	5
/Script/BlendSpaceMotionAnalysis	engine	BlendSpaceMotionAnalysis	uplugin	Engine/Plugins/Animation/BlendSpaceMotionAnalysis/BlendSpaceMotionAnalysis.uplugin	20
/Script/BlueprintEditorLibrary	engine	BlueprintEditorLibrary	build.cs	Engine/Source/Editor/BlueprintEditorLibrary/BlueprintEditorLibrary.Build.cs	6
/Script/BlueprintGraph	engine	BlueprintGraph	build.cs	Engine/Source/Editor/BlueprintGraph/BlueprintGraph.Build.cs	6
/Script/BlueprintHeaderView	engine	BlueprintHeaderView	uplugin	Engine/Plugins/Editor/BlueprintHeaderView/BlueprintHeaderView.uplugin	21
/Script/Blutility	engine	Blutility	build.cs	Engine/Source/Editor/Blutility/Blutility.Build.cs	5
/Script/Bridge	engine	Bridge	uplugin	Engine/Plugins/Bridge/Bridge.uplugin	23
/Script/BuildPatchServices	engine	BuildPatchServices	build.cs	Engine/Source/Runtime/Online/BuildPatchServices/BuildPatchServices.Build.cs	6
/Script/CableComponent	engine	CableComponent	uplugin	Engine/Plugins/Runtime/CableComponent/CableComponent.uplugin	20
/Script/CacheTrackRecorder	engine	CacheTrackRecorder	uplugin	Engine/Plugins/VirtualProduction/Takes/Takes.uplugin	67
/Script/CascadeToNiagaraConverter	engine	CascadeToNiagaraConverter	uplugin	Engine/Plugins/FX/CascadeToNiagaraConverter/CascadeToNiagaraConverter.uplugin	19
/Script/Chaos	engine	Chaos	build.cs	Engine/Source/Runtime/Experimental/Chaos/Chaos.Build.cs	8
/Script/ChaosCaching	engine	ChaosCaching	uplugin	Engine/Plugins/Experimental/ChaosCaching/ChaosCaching.uplugin	20
/Script/ChaosCachingEditor	engine	ChaosCachingEditor	uplugin	Engine/Plugins/Experimental/ChaosCaching/ChaosCaching.uplugin	25
/Script/ChaosCloth	engine	ChaosCloth	uplugin	Engine/Plugins/ChaosCloth/ChaosCloth.uplugin	18
/Script/ChaosNiagara	engine	ChaosNiagara	uplugin	Engine/Plugins/Experimental/ChaosNiagara/ChaosNiagara.uplugin	19
/Script/ChaosSolverEditor	engine	ChaosSolverEditor	uplugin	Engine/Plugins/Experimental/ChaosSolverPlugin/ChaosSolverPlugin.uplugin	19
/Script/ChaosSolverEngine	engine	ChaosSolverEngine	build.cs	Engine/Source/Runtime/Experimental/ChaosSolverEngine/ChaosSolverEngine.Build.cs	5
/Script/ChaosVD	engine	ChaosVD	uplugin	Engine/Plugins/ChaosVD/ChaosVD.uplugin	20
/Script/ChaosVDRuntime	engine	ChaosVDRuntime	build.cs	Engine/Source/Runtime/Experimental/ChaosVisualDebugger/ChaosVDRuntime.Build.cs	8
/Script/CinematicCamera	engine	CinematicCamera	build.cs	Engine/Source/Runtime/CinematicCamera/CinematicCamera.Build.cs	5
/Script/ClassViewer	engine	ClassViewer	build.cs	Engine/Source/Editor/ClassViewer/ClassViewer.Build.cs	5
/Script/ClothingSystemEditor	engine	ClothingSystemEditor	build.cs	Engine/Source/Editor/ClothingSystemEditor/ClothingSystemEditor.Build.cs	6
/Script/ClothingSystemEditorInterface	engine	ClothingSystemEditorInterface	build.cs	Engine/Source/Editor/ClothingSystemEditorInterface/ClothingSystemEditorInterface.Build.cs	6
/Script/ClothingSystemRuntimeCommon	engine	ClothingSystemRuntimeCommon	build.cs	Engine/Source/Runtime/ClothingSystemRuntimeCommon/ClothingSystemRuntimeCommon.Build.cs	5
/Script/ClothingSystemRuntimeInterface	engine	ClothingSystemRuntimeInterface	build.cs	Engine/Source/Runtime/ClothingSystemRuntimeInterface/ClothingSystemRuntimeInterface.Build.cs	5
/Script/ClothingSystemRuntimeNv	engine	ClothingSystemRuntimeNv	build.cs	Engine/Source/Runtime/ClothingSystemRuntimeNv/ClothingSystemRuntimeNv.Build.cs	5
/Script/CollectionManager	engine	CollectionManager	build.cs	Engine/Source/Developer/CollectionManager/CollectionManager.Build.cs	5
/Script/ComponentVisualizers	engine	ComponentVisualizers	build.cs	Engine/Source/Editor/ComponentVisualizers/ComponentVisualizers.Build.cs	5
/Script/ConfigEditor	engine	ConfigEditor	build.cs	Engine/Source/Editor/ConfigEditor/ConfigEditor.Build.cs	5
/Script/Constraints	engine	Constraints	build.cs	Engine/Source/Runtime/Experimental/Animation/Constraints/Constraints.Build.cs	5
/Script/ContentBrowser	engine	ContentBrowser	build.cs	Engine/Source/Editor/ContentBrowser/ContentBrowser.Build.cs	5
/Script/ContentBrowserAssetDataSource	engine	ContentBrowserAssetDataSource	uplugin	Engine/Plugins/Editor/ContentBrowser/ContentBrowserAssetDataSource/ContentBrowserAssetDataSource.uplugin	21
/Script/ContentBrowserClassDataSource	engine	ContentBrowserClassDataSource	uplugin	Engine/Plugins/Editor/ContentBrowser/ContentBrowserClassDataSource/ContentBrowserClassDataSource.uplugin	20
/Script/ContentBrowserData	engine	ContentBrowserData	build.cs	Engine/Source/Editor/ContentBrowserData/ContentBrowserData.Build.cs	5
/Script/ContentBrowserFileDataSource	engine	ContentBrowserFileDataSource	uplugin	Engine/Plugins/Editor/ContentBrowser/ContentBrowserFileDataSource/ContentBrowserFileDataSource.uplugin	21
/Script/ControlRig	engine	ControlRig	uplugin	Engine/Plugins/Animation/ControlRig/ControlRig.uplugin	45
/Script/ControlRigDeveloper	engine	ControlRigDeveloper	uplugin	Engine/Plugins/Animation/ControlRig/ControlRig.uplugin	50
/Script/ControlRigEditor	engine	ControlRigEditor	uplugin	Engine/Plugins/Animation/ControlRig/ControlRig.uplugin	55
/Script/ControlRigSpline	engine	ControlRigSpline	uplugin	Engine/Plugins/Animation/ControlRigSpline/ControlRigSpline.uplugin	26
/Script/CoreOnline	engine	CoreOnline	build.cs	Engine/Source/Runtime/CoreOnline/CoreOnline.Build.cs	6
/Script/CoreUObject	engine	CoreUObject	build.cs	Engine/Source/Runtime/CoreUObject/CoreUObject.Build.cs	6
/Script/CryptoKeys	engine	CryptoKeys	uplugin	Engine/Plugins/Editor/CryptoKeys/CryptoKeys.uplugin	19
/Script/CsvMetrics	engine	CsvMetrics	uplugin	Engine/Plugins/WorldMetrics/WorldMetrics.uplugin	32
/Script/CurveEditor	engine	CurveEditor	build.cs	Engine/Source/Editor/CurveEditor/CurveEditor.Build.cs	5
/Script/CurveEditorTools	engine	CurveEditorTools	uplugin	Engine/Plugins/Editor/CurveEditorTools/CurveEditorTools.uplugin	19
/Script/CustomMeshComponent	engine	CustomMeshComponent	uplugin	Engine/Plugins/Runtime/CustomMeshComponent/CustomMeshComponent.uplugin	20
/Script/DataLayerEditor	engine	DataLayerEditor	build.cs	Engine/Source/Editor/DataLayerEditor/DataLayerEditor.Build.cs	5
/Script/DataValidation	engine	DataValidation	uplugin	Engine/Plugins/Editor/DataValidation/DataValidation.uplugin	21
/Script/DataflowCore	engine	DataflowCore	build.cs	Engine/Source/Runtime/Experimental/Dataflow/Core/DataflowCore.Build.cs	5
/Script/DataflowEditor	engine	DataflowEditor	uplugin	Engine/Plugins/Experimental/Dataflow/Dataflow.uplugin	20
/Script/DataflowEngine	engine	DataflowEngine	build.cs	Engine/Source/Runtime/Experimental/Dataflow/Engine/DataflowEngine.Build.cs	5
/Script/DataflowEnginePlugin	engine	DataflowEnginePlugin	uplugin	Engine/Plugins/Experimental/Dataflow/Dataflow.uplugin	30
/Script/DataflowNodes	engine	DataflowNodes	uplugin	Engine/Plugins/Experimental/Dataflow/Dataflow.uplugin	35
/Script/DatasmithContent	engine	DatasmithContent	uplugin	Engine/Plugins/Enterprise/DatasmithContent/DatasmithContent.uplugin	19
/Script/DatasmithContentEditor	engine	DatasmithContentEditor	uplugin	Engine/Plugins/Enterprise/DatasmithContent/DatasmithContent.uplugin	24
/Script/DetailCustomizations	engine	DetailCustomizations	build.cs	Engine/Source/Editor/DetailCustomizations/DetailCustomizations.Build.cs	5
/Script/DeveloperSettings	engine	DeveloperSettings	build.cs	Engine/Source/Runtime/DeveloperSettings/DeveloperSettings.Build.cs	5
/Script/DeveloperToolSettings	engine	DeveloperToolSettings	build.cs	Engine/Source/Developer/DeveloperToolSettings/DeveloperToolSettings.Build.cs	6
/Script/EditorConfig	engine	EditorConfig	build.cs	Engine/Source/Editor/EditorConfig/EditorConfig.Build.cs	5
/Script/EditorFramework	engine	EditorFramework	build.cs	Engine/Source/Editor/EditorFramework/EditorFramework.Build.cs	5
/Script/EditorInteractiveToolsFramework	engine	EditorInteractiveToolsFramework	build.cs	Engine/Source/Editor/Experimental/EditorInteractiveToolsFramework/EditorInteractiveToolsFramework.Build.cs	5
/Script/EditorScriptingUtilities	engine	EditorScriptingUtilities	uplugin	Engine/Plugins/Editor/EditorScriptingUtilities/EditorScriptingUtilities.uplugin	20
/Script/EditorSubsystem	engine	EditorSubsystem	build.cs	Engine/Source/Editor/EditorSubsystem/EditorSubsystem.Build.cs	5
/Script/EditorWidgets	engine	EditorWidgets	build.cs	Engine/Source/Editor/EditorWidgets/EditorWidgets.Build.cs	5
/Script/Engine	engine	Engine	build.cs	Engine/Source/Runtime/Engine/Engine.Build.cs	6
/Script/EngineAssetDefinitions	engine	EngineAssetDefinitions	uplugin	Engine/Plugins/Editor/EngineAssetDefinitions/EngineAssetDefinitions.uplugin	20
/Script/EngineMessages	engine	EngineMessages	build.cs	Engine/Source/Runtime/EngineMessages/EngineMessages.Build.cs	5
/Script/EngineSettings	engine	EngineSettings	build.cs	Engine/Source/Runtime/EngineSettings/EngineSettings.Build.cs	5
/Script/EnhancedInput	engine	EnhancedInput	uplugin	Engine/Plugins/EnhancedInput/EnhancedInput.uplugin	19
/Script/EnvironmentQueryEditor	engine	EnvironmentQueryEditor	uplugin	Engine/Plugins/AI/EnvironmentQueryEditor/EnvironmentQueryEditor.uplugin	19
/Script/Fab	engine	Fab	uplugin	Engine/Plugins/Fab/Fab.uplugin	18
/Script/FacialAnimation	engine	FacialAnimation	uplugin	Engine/Plugins/Editor/FacialAnimation/FacialAnimation.uplugin	20
/Script/FacialAnimationEditor	engine	FacialAnimationEditor	uplugin	Engine/Plugins/Editor/FacialAnimation/FacialAnimation.uplugin	25
